page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image      46    41  index   1   8  image  no       932  0   303   307  138B 7.3%
   3     1 image     715   467  icc     3   8  image  no        94  0   300   300 30.6K 3.1%
   3     2 smask     715   467  gray    1   8  jpeg   no        94  0   300   300 12.8K 3.9%
   3     3 image     719   467  icc     3   8  image  no        96  0   300   300 43.0K 4.4%
   3     4 smask     719   467  gray    1   8  jpeg   no        96  0   300   300 18.1K 5.5%
   5     5 image     481   502  icc     3   8  jpeg   no       186  0   300   300 27.5K 3.9%
   5     6 image     457   446  icc     3   8  jpeg   no       188  0   300   300 20.1K 3.4%
   5     7 smask     457   446  gray    1   8  jpeg   no       188  0   300   300 18.9K 9.5%
   5     8 image     433   466  icc     3   8  image  no       190  0   300   300 19.6K 3.3%
   5     9 smask     433   466  gray    1   8  jpeg   no       190  0   300   300 13.1K 6.6%
   5    10 image    1192   483  icc     3   8  jpeg   no       192  0   300   301 50.6K 3.0%
   5    11 smask    1192   483  gray    1   8  image  no       192  0   300   301 37.6K 6.7%
   5    12 image     973    16  index   1   8  image  no       196  0   300   307   48B 0.3%
   5    13 smask     973    16  gray    1   8  jpeg   no       196  0   300   307  458B 2.9%
   6    14 image     990   401  icc     3   8  jpeg   no       252  0   300   300 41.5K 3.6%
   6    15 smask     990   401  gray    1   8  image  no       252  0   300   300 29.4K 7.6%
   6    16 image     809    10  index   1   8  image  no       256  0   300   308   50B 0.6%
   6    17 smask     809    10  gray    1   8  image  no       256  0   300   308   65B 0.8%
  13    18 image    2168  1767  icc     3   8  image  no       404  0   300   300  848K 7.6%
  14    19 image    1057   982  icc     3   8  jpeg   no       411  0   300   300  157K 5.2%
  15    20 image    1831   627  icc     3   8  image  no       418  0   300   300  165K 4.9%
  16    21 image    1057   835  icc     3   8  image  no       428  0   300   300 56.3K 2.2%
  17    22 image    1501   821  icc     3   8  image  no       436  0   300   300  209K 5.8%
  18    23 image    2168  1245  icc     3   8  image  no       443  0   300   300  756K 9.6%
  19    24 image    1057  1176  icc     3   8  jpeg   no       454  0   300   300  192K 5.3%
  20    25 image    1500   700  icc     3   8  image  no       463  0   300   300  301K 9.8%
  21    26 image     943   148  rgb     3   8  jpeg   no       467  0   299   299 18.6K 4.6%
